;companyId;companyName;ticker;price;gestao;dy;percentualcaixa;numerocotistas;patrimonio;p_vp;liquidezmediadiaria;dividend_cagr;cota_cagr
0;709;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II;BRLA11;0.0;Passiva;0.0;0.7435;84.0;137631181.91;;;;
1;694;ENERGY RESORT FDO. INVEST. IMOB;EGYR11;0.0;Passiva;0.0;0.0576;21.0;93223959.69;;;;
2;65;Infra Real State;FINF11;0.0;Ativa;0.0;0.7986;4.0;83649849.75;;;;
3;40;Edifício Castelo;FCAS11;0.0;Passiva;0.0;186.1664;2.0;80684223.04;;;;
4;118;Shopping Patio Higienopolis;SHPH11;807.0;Passiva;3.4885;0.4134;3105.0;501304789.65;0.9803;150895.54;-11.6704;-5.9161
5;78;Alianza Trust Renda Imobiliária;ALZR11;122.0;Ativa;5.1902;1.8679;93070.0;545088850.1;1.1276;1676327.17;-5.9725;9.0797
6;104;Ancar CI;ANCR11B;3400.0;Ativa;1.1037;0.901;55.0;1502356203.17;1.0209;3400.0;;
7;79;BB Renda Corporativa;BBRC11;112.9;Passiva;10.0089;4.0449;8727.0;179470745.81;1.0003;201161.93;0.6878;-6.6908
8;583;INTER TÍTULOS IMOB. FDO INV. IMOB.;BICR11;96.0;Ativa;3.2083;9.6076;602.0;49536739.3;0.969;3285.17;;
9;640;BRIO REAL ESTATE II - FDO INV IMOB;BRIM11;1200.01;Ativa;0.0;5.4897;121.0;120489466.5;1.2363;246002.0;;
10;690;BRIO REAL ESTATE III;BRIP11;1099.0;Ativa;0.0;19.9399;235.0;107018154.87;1.1126;159637.75;;
11;677;BTG PACTUAL AGRO LOGÍSTICA;BTAL11;98.28;Ativa;2.2549;33.8504;10544.0;613212427.09;0.9588;821338.54;;
12;131;BTG Pactual Crédito Imobiliário;BTCR11;93.97;Ativa;6.8445;5.618;9427.0;468152081.69;0.9655;1228057.98;-6.4739;
13;70;BTG PACTUAL LOGISTICA FDO INV IMOB - FII;BTLG11;111.1;Ativa;6.4446;27.0968;123114.0;1545897003.37;1.0945;6332106.12;17.209;16.5855
14;779;FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS;BTRA11;96.1;Ativa;0.0029;100.014;7275.0;336290134.74;0.9615;1695638.0;;
15;692;BTSP I FDO. INVEST. IMOB;BTSG11;0.0;Ativa;0.0;0.9152;52.0;72613837.12;;;;
16;777;BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO;BTSI11;0.0;Ativa;0.0;0.3145;52.0;17840248.27;;;;
17;82;Brasil Varejo;BVAR11;0.0;Passiva;0.0;0.8708;69.0;680173321.92;;;11.7248;
18;762;BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO;BZEL11;0.0;Ativa;0.0;0.0098;2.0;538876263.48;;;;
19;132;Brazil Realty;BZLI11;14.58;Ativa;0.0;2.7259;30.0;444984851.42;1.2823;627576.46;;2.3214
20;133;Capitania Securities II;CPTS11;100.12;Ativa;11.2865;14.0175;101296.0;2458261150.77;1.05;11094431.39;6.9003;0.3757
21;526;CAIXA RIO BRAVO FDO DE FDOS INV IMOB II;CRFF11;72.24;Ativa;7.309;0.5395;1869.0;61365398.38;0.8123;39114.85;;
22;83;Caixa Cedae;CXCE11B;89.9;Passiva;11.9642;5.8289;2984.0;138989389.34;1.108;62165.24;5.3398;-0.0371
23;704;FDO. INV. IMOB. CAIXA IMÓVEIS CORPORATIVOS;CXCO11;100.41;Ativa;1.9538;0.9012;13179.0;393310347.26;1.0019;426844.61;;
24;3;Caixa Rio Bravo;CXRI11;74.26;Ativa;10.0987;0.549;3030.0;143766078.73;0.8139;70056.05;-4.8299;-57.2431
25;62;Caixa TRX Logística Renda;CXTL11;409.91;Passiva;4.105;0.6134;663.0;34506021.04;0.6367;18923.15;5.5257;-6.4078
26;653;DEVANT RECEBÍVEIS IMOBILIÁRIOS;DEVA11;103.48;Ativa;13.0847;31.7159;35825.0;1094095062.23;1.0354;4032284.46;;
27;498;MAC FDO INV IMOB;DMAC11;11.71;Passiva;364.9474;10.1341;2118.0;1431702.82;1.277;22904.83;;
28;499;DOVEL FDO INV IMOB;DOVL11B;21.39;Ativa;40.7549;2.7791;7.0;71332997.7;0.0187;;;
29;36;Multigestão Renda Comercial;DRIT11B;113.7;Ativa;3.4565;0.8335;306.0;60667772.56;0.8683;2519.72;-20.1232;-1.5072
30;39;Edifício Almirante Barroso;FAMB11B;1203.5;Passiva;7.1872;8.1828;3555.0;365424035.32;0.3452;74261.39;-9.8241;-18.8132
31;641;FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I;FATN11;100.48;Ativa;6.26;12.2055;294.0;70356059.44;0.9323;84694.68;;
32;134;BTG Pactual Fundo de CRI;FEXC11;89.5;Ativa;8.9538;49.0206;17462.0;567938321.66;0.9618;943392.46;-5.6342;-6.6437
33;107;General Shopping Ativo e Renda;FIGS11;63.6;Passiva;3.4906;4.6539;17545.0;268516555.33;0.675;369420.49;-38.5537;-3.1916
34;4;Industrial do Brasil;FIIB11;490.0;Passiva;6.902;1.4053;17621.0;302576317.04;1.1093;489458.41;2.1276;7.5564
35;64;RB Capital Renda I;FIIP11B;193.42;Passiva;6.0519;2.8019;9086.0;184974107.19;0.9695;138422.46;-11.9667;1.2236
36;500;FDO INV IMOB SC 401;FISC11;165.0;Ativa;0.6477;0.2928;66.0;254740992.29;1.0641;33000.0;;
37;135;São Domingos;FISD11;0.0;Ativa;0.0;0.0003;25.0;119260695.95;;;;
38;108;Vida Nova;FIVN11;2.99;Passiva;0.0;0.0;2881.0;64722802.83;0.4346;55568.1;;-2.2372
39;696;FARIA LIMA CAPITAL RECEB. IMOB. I;FLCR11;100.56;Ativa;4.9025;17.1643;203.0;50417226.04;0.9973;75329.56;;
40;5;Continental Square Faria Lima;FLMA11;133.77;Ativa;3.8499;2.2939;22398.0;214739933.89;0.8601;219678.32;-14.8783;5.5217
41;42;Memorial Office;FMOF11;73.41;Passiva;1.7981;1.3537;363.0;67036039.33;0.5563;6627.76;20.4227;-2.4166
42;137;Hedge TOP FOFII 2;FOFT11;123.0;Ativa;0.0;5.1009;3846.0;131819480.59;1.1161;;-47.711;12.7121
43;43;Projeto Água Branca;FPAB11;241.99;Passiva;7.802;1.2368;973.0;335907327.52;0.5403;20878.35;-12.928;-7.8747
44;45;VBI FL 4440;FVBI11;94.97;Passiva;68.9501;;0.0;0.0;;69079.0;142.9322;-1.9241
45;110;Via Parque Shopping;FVPQ11;129.99;Passiva;2.5633;1.0479;5259.0;548434490.15;0.6637;111595.27;-5.9487;-20.8345
46;663;GUARDIAN LOGISTICA;GALG11;109.8;Ativa;5.25;0.0024;4368.0;588721429.27;1.0469;1722573.41;;
47;67;CSHG GR Louveira;GRLV11;104.51;Passiva;104.4206;2489.4369;2604.0;6407890.29;17.5059;753753.27;135.252;-4.3027
48;502;GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB;GSFI11;5.0;Ativa;0.0;0.1406;5549.0;909359665.72;0.3765;180057.44;;
49;533;FDO INV IMOB GREEN TOWERS;GTWR11;100.8;Ativa;8.0989;0.4313;26935.0;1210845452.74;0.999;1657234.39;;
50;579;FDO. INV. IMOB. HOUSI;HOSI11;82.19;Ativa;6.7262;12.6018;2269.0;53006213.94;0.8892;55903.76;;
51;573;HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.;HPDP11;81.49;Passiva;3.2274;1.4757;397.0;279262818.98;0.8488;620641.37;;
52;540;HEDGE REALTY DEVELOPMENT FDO INV IMOB;HRDF11;1.45;Ativa;0.0;65.944;1381.0;11820174.62;0.9295;17273.46;;
53;713;IFI-D FUNDO DE INVESTIMENTO IMOBILIARIO;IFID11;86.8;Passiva;3.5484;1.1611;2077.0;67760427.7;0.9584;112071.0;;
54;625;IFI-E FUNDO DE INVESTIMENTO IMOBILIARIO - FII;IFIE11;82.7;Passiva;3.4462;1.2181;6172.0;77156683.58;0.9652;57260.34;;
55;112;Shopping Jardim Sul;JRDM11;64.01;Passiva;2.845;2.643;5397.0;221416032.56;0.7294;91323.95;-10.1546;-2.9886
56;10;JS Real Estate Multigestão;JSRE11;90.15;Ativa;7.0438;1.1098;44934.0;2354869865.71;0.795;2478843.37;-2.064;-4.2515
57;97;JT Prev FII Desenvolvimento Habitacional;JTPR11;2517.0;Ativa;0.1203;7.2512;9.0;24056729.92;22.4612;;;
58;98;Even Permuta Kinea;KINP11;13.7;Ativa;6.2163;9.4964;480.0;59156614.23;1.6546;1548.08;;
59;141;Kinea Rendimentos Imobiliários;KNCR11;92.57;Ativa;4.0078;10.1466;67977.0;3869688643.01;0.9352;5303054.05;-19.1118;-4.4454
60;142;Kinea High Yield CRI;KNHY11;108.98;Ativa;11.0663;2.3809;6638.0;1083254957.1;1.0755;1925846.93;20.8673;
61;143;Kinea Índice de Preços;KNIP11;109.8;Ativa;10.9381;1.5803;56372.0;4813931680.49;1.0751;10225665.71;10.5056;1.181
62;99;Kinea II Real Estate Equity;KNRE11;2.48;Ativa;2.817;21.1058;6769.0;38017665.53;1.2098;18646.63;;-37.2559
63;11;Kinea Renda Imobiliária;KNRI11;139.8;Ativa;5.7511;1.4103;236956.0;3833230862.74;0.881;4959776.56;-4.3931;-1.8599
64;651;KINEA SECURITIES FDO. DE INV. IMOB. - FII;KNSC11;103.0;Ativa;7.2913;7.5213;28151.0;609038202.35;1.0874;3908495.71;;
65;619;LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO;LFTT11;105.9;Ativa;6.4693;25.39;359.0;426227529.7;1.7452;1341401.42;;
66;571;LOGCP INTER FDO INV IMOB;LGCP11;89.56;Ativa;6.8111;0.591;10092.0;270064177.99;0.9063;289804.39;;
67;505;LOFT I - FDO INV IMOB;LOFT11B;29.9;Ativa;8.7575;24.7569;116.0;208737264.72;0.4121;2138.0;;
68;506;FDO INV IMOB - VBI LOGÍSTICO;LVBI11;104.99;Ativa;6.0642;16.1657;35797.0;1350866844.96;0.9152;2691698.68;;
69;113;Malls Brasil Plural;MALL11;98.0;Ativa;5.6122;1.2169;86382.0;791839514.98;0.9357;1444117.15;-9.822;-0.5716
70;88;Max Retail;MAXR11;85.05;Ativa;9.0882;1.5106;3147.0;132496118.28;0.7225;145225.39;-6.733;-5.4183
71;618;MERITO FDO. AÇÕES IMOB. FII - FDO INV. IMOB.;MFAI11;90.5;Ativa;16.4751;0.0;3774.0;28247890.8;0.9713;90832.0;;
72;12;Mérito Desenvolvimento Imobiliário;MFII11;116.8;Ativa;10.2055;31.4421;29533.0;471039211.8;0.9853;935595.78;-4.8104;
73;144;Mogno Fundo de Fundos;MGFF11;77.0;Ativa;8.8388;9.1726;50761.0;749842707.48;0.9294;2289178.71;-5.8696;-6.5657
74;597;FDO. INV. IMOB. MOGNO HOTEIS;MGHT11;96.3;Ativa;7.5731;7.3752;375.0;103608255.03;0.9741;54062.56;;
75;656;MINT EDUCACIONAL;MINT11;110.0;Ativa;0.0;19.7445;65.0;63536262.93;0.9002;75789.85;;
76;582;Newport Logística;NEWL11;106.5;Ativa;9.7465;11.1093;1587.0;216809218.22;0.9988;180546.1;;
77;17;NEWPORT RENDA URBANA FDO INV IMOB;NEWU11;35.26;Ativa;0.312;2.0293;1785.0;46662523.65;0.5607;6551.7;58.7674;
78;22;Hospital Nossa Sra Lourdes;NSLU11;252.99;Passiva;9.3922;2.0381;7617.0;244478758.64;1.1846;238534.85;7.1792;5.2498
79;48;The One;ONEF11;143.2;Passiva;5.405;1.062;4162.0;146317021.91;0.8916;93541.61;-2.8448;3.9468
80;531;FDO INV IMOB - OURINVEST FUNDO DE FUNDOS;OUFF11;80.21;Ativa;8.865;2.9047;8763.0;154190063.7;0.9439;260428.17;;
81;74;OURINVEST JPP;OUJP11;98.15;Ativa;8.2167;17.0105;21214.0;335816504.46;0.9506;850456.37;-8.239;-0.7823
82;507;FDO INV IMOB OURINVEST LOGÍSTICA;OULG11;67.55;Ativa;9.8057;5.6691;6940.0;230732500.99;0.7264;179413.85;;
83;147;Ourinvest Cyrela;OURE11;88.86;Ativa;9.6779;11.3777;3739.0;81665559.54;0.9052;100280.02;8.5556;-3.5378
84;14;Panamby;PABY11;12.58;Passiva;0.0;;447.0;-6281734.3;;3090.38;;-20.3973
85;622;PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;PATL11;81.85;Ativa;6.7815;2.3518;12060.0;477672328.39;0.8553;1414620.15;;
